name_h,attempted_passes_h,big_chances_created_h,big_chances_missed_h,clearances_blocks_interceptions_h,completed_passes_h,dribbles_h,errors_leading_to_goal_attempt_h,fixture_h,fouls_h,key_passes_h,minutes_h,offside_h,open_play_crosses_h,opponent_team_h,penalties_conceded_h,penalties_missed_h,penalties_saved_h,recoveries_h,red_cards_h,round_h,saves_h,tackled_h,tackles_h,target_missed_h,team_score_h,yellow_cards_h,shots_on_target_h,name_a,attempted_passes_a,big_chances_created_a,big_chances_missed_a,clearances_blocks_interceptions_a,completed_passes_a,dribbles_a,errors_leading_to_goal_attempt_a,fouls_a,key_passes_a,offside_a,open_play_crosses_a,penalties_conceded_a,penalties_missed_a,penalties_saved_a,recoveries_a,red_cards_a,saves_a,tackled_a,tackles_a,target_missed_a,team_score_a,yellow_cards_a,shots_on_target_a
Huddersfield Town,485,2,2,25,381,7,0,254,17,10,90,2,1,1,0,0,0,72,0,26,2,19,5,6,1,3,6,Arsenal,411,2,1,47,295,9,1,12,7,1,2,0,0,0,84,0,5,25,11,4,2,2,4
Crystal Palace,481,4,4,31,396,9,0,252,12,17,90,4,6,19,1,0,0,65,0,26,3,21,3,10,1,3,5,West Ham United,372,2,2,54,276,3,0,9,5,1,2,0,0,0,60,0,4,16,2,1,1,0,4
Watford,324,2,1,44,220,2,0,259,21,5,90,0,1,8,0,0,0,59,0,26,4,22,8,3,1,2,2,Everton,422,0,0,50,315,14,0,10,6,6,5,0,0,0,66,1,1,22,8,4,0,0,4
Fulham,502,2,3,40,391,12,3,253,14,7,0,2,3,14,1,0,0,72,0,26,4,11,5,7,0,3,3,Manchester United,484,0,1,38,378,13,2,9,10,3,1,0,0,0,67,0,3,21,2,4,3,2,7
Wolves,623,2,2,30,502,11,1,260,7,16,9,1,6,15,0,0,0,81,0,26,2,21,4,8,1,1,6,Newcastle United,434,0,0,53,322,7,1,9,8,1,4,0,0,0,76,0,5,15,5,2,1,3,3
Liverpool,707,5,4,37,629,5,0,255,14,18,0,1,2,2,0,0,0,66,0,26,2,12,5,6,3,2,9,AFC Bournemouth,362,0,0,46,278,11,0,6,7,2,2,0,0,0,59,0,6,23,5,5,0,2,2
Southampton,540,1,1,29,429,13,0,257,15,11,90,0,1,5,0,0,0,63,0,26,1,15,10,5,1,3,7,Cardiff City,270,0,0,35,157,2,0,12,4,3,2,0,0,0,68,0,6,18,5,3,2,3,3
Tottenham,498,2,0,23,420,8,0,258,11,9,0,7,3,11,1,0,1,59,0,26,9,12,7,2,3,3,5,Leicester City,436,3,3,39,351,11,0,4,19,5,5,0,1,0,58,0,2,14,5,9,1,1,10
Brighton,518,1,0,21,409,6,0,251,8,12,24,1,8,4,1,0,0,50,0,26,2,11,4,4,1,1,6,Burnley,250,1,1,69,149,2,0,7,5,0,0,0,0,0,54,0,5,10,4,2,3,1,5
Manchester City,681,4,3,39,629,10,0,256,9,10,0,2,3,6,0,0,0,52,0,26,4,23,2,5,6,1,9,Chelsea,533,1,1,19,472,14,0,13,10,1,1,1,0,0,43,0,3,14,8,3,0,2,4
