name_h,attempted_passes_h,big_chances_created_h,big_chances_missed_h,clearances_blocks_interceptions_h,completed_passes_h,dribbles_h,errors_leading_to_goal_attempt_h,fixture_h,fouls_h,key_passes_h,minutes_h,offside_h,open_play_crosses_h,opponent_team_h,penalties_conceded_h,penalties_missed_h,penalties_saved_h,recoveries_h,red_cards_h,round_h,saves_h,tackled_h,tackles_h,target_missed_h,team_score_h,yellow_cards_h,shots_on_target_h,name_a,attempted_passes_a,big_chances_created_a,big_chances_missed_a,clearances_blocks_interceptions_a,completed_passes_a,dribbles_a,errors_leading_to_goal_attempt_a,fouls_a,key_passes_a,offside_a,open_play_crosses_a,penalties_conceded_a,penalties_missed_a,penalties_saved_a,recoveries_a,red_cards_a,saves_a,tackled_a,tackles_a,target_missed_a,team_score_a,yellow_cards_a,shots_on_target_a
Huddersfield Town,447,1,1,31,347,5,0,274,10,10,12,0,2,20,0,0,0,57,0,28,0,20,11,9,1,2,3,Wolves,458,1,1,30,356,12,0,10,6,4,1,0,0,0,57,0,2,24,4,5,0,2,0
Arsenal,648,2,0,30,577,4,0,271,11,14,0,4,2,2,0,0,0,46,0,28,4,18,5,5,5,2,6,AFC Bournemouth,346,1,0,33,278,6,0,9,9,4,3,0,0,0,47,0,1,7,8,4,1,2,5
Crystal Palace,372,3,2,31,298,14,0,273,8,16,0,2,10,14,0,0,0,48,0,28,1,20,6,11,1,2,3,Manchester United,470,2,1,25,378,6,0,9,9,0,2,0,0,0,48,0,2,20,8,5,3,3,4
Liverpool,627,4,0,28,534,16,0,277,5,9,12,1,5,18,0,0,0,56,0,28,3,29,9,4,5,0,10,Watford,390,1,1,51,300,10,0,7,4,2,0,0,0,0,63,0,5,17,2,1,0,2,3
Leicester City,448,1,0,42,369,10,1,275,6,15,0,2,1,3,0,0,0,53,0,28,2,6,7,9,2,1,3,Brighton,447,1,1,23,362,7,0,4,8,4,1,0,0,0,59,0,1,14,2,9,1,1,3
Southampton,383,0,0,38,295,6,0,280,15,11,0,2,3,9,0,0,0,66,0,28,4,15,11,7,2,0,4,Fulham,568,2,2,26,450,5,0,13,8,2,1,0,0,0,60,0,2,21,6,4,0,1,4
Cardiff City,255,0,0,43,143,8,0,272,12,4,0,3,2,8,0,0,0,61,0,28,1,10,12,5,0,3,0,Everton,535,1,0,39,425,9,0,12,10,1,1,0,0,0,58,0,0,21,6,5,3,1,4
Chelsea,481,0,0,38,393,6,0,276,7,7,0,1,2,17,0,0,0,73,0,28,0,23,11,8,2,1,2,Tottenham,547,1,1,34,474,12,1,14,8,1,2,0,0,0,69,0,0,27,8,5,0,1,0
Newcastle United,444,1,1,43,330,5,0,279,8,11,0,0,4,4,0,0,0,63,0,28,2,24,9,8,2,1,4,Burnley,367,1,2,26,244,5,1,8,7,2,1,0,0,0,68,0,2,19,8,6,0,3,2
Manchester City,776,4,4,17,682,10,0,278,2,15,0,7,4,19,0,0,0,55,0,28,1,14,10,11,1,0,6,West Ham United,256,1,1,52,178,6,0,6,2,2,2,1,0,0,44,0,5,14,1,1,0,2,1
